,ETF,Ticker,Technical Action,Score
3,XLP,COST,Buy,23.332611040393292
4,XLP,WMT,Buy,20.92802140590395
13,XLP,STZ,Buy,16.59770228958268
16,XLP,HSY,Buy,15.004518504011147
30,XLP,LW,Buy,14.0870002815103
15,XLP,MNST,Buy,12.294570513004402
0,XLP,PG,Buy,10.913239856364015
2,XLP,PEP,Buy,8.191089034901733
22,XLP,CHD,Buy,7.859513905599085
29,XLP,TAP,Buy,7.470723036810251
5,XLP,MDLZ,Buy,6.987066691107907
10,XLP,KMB,Buy,6.200038145262024
11,XLP,GIS,Buy,5.853813092607963
23,XLP,MKC,Buy,5.750331963743918
17,XLP,KR,Buy,0.9546361557729832
8,XLP,CL,Buy,-2.1298624298265554
25,XLP,CLX,Buy,-7.984301684589187
