ETF,Ticker,Technical Action,Score
XLRE,CCI,Buy,38.58757540293754
XLRE,DLR,Sell,32.02696366148618
XLRE,AMT,Buy,24.487250603905863
XLRE,PLD,Sell,20.509557956270292
XLRE,WELL,Buy,19.347040129908518
XLRE,VTR,Buy,18.359711760921922
XLRE,BXP,Sell,17.489467265146224
XLRE,EQIX,Sell,17.109905801443624
XLRE,SPG,Sell,16.36842403789211
XLRE,PSA,Sell,15.995488198418286
XLRE,IRM,Sell,15.875956445536804
XLRE,SBAC,Buy,14.421580983904327
XLRE,O,Buy,12.937023872274755
XLRE,CBRE,Sell,12.524219121129743
XLRE,EXR,Sell,11.79946776616368
XLRE,VNO,Sell,11.572194584898858
XLRE,CPT,Sell,10.866886067745625
XLRE,WY,Sell,10.630825340665947
XLRE,ESS,Sell,10.460368453792539
XLRE,UDR,Sell,9.839187427209618
XLRE,KIM,Sell,9.624054795332261
XLRE,MAA,Buy,8.99356388041766
XLRE,EQR,Sell,8.236927161050351
XLRE,ARE,Sell,7.605523364774092
XLRE,AVB,Sell,7.3929521277632535
XLRE,VICI,Buy,6.799434988823947
XLRE,REG,Sell,6.521262344637471
XLRE,FRT,Sell,5.063975338411911
XLRE,HST,Sell,4.945978435996962
