,ETF,Ticker,Technical Action,Score
9,XLRE,SPG,Buy,19.074187196346745
4,XLRE,PSA,Buy,18.531285673676617
0,XLRE,AMT,Buy,17.13149739437773
6,XLRE,WELL,Buy,12.628809615257813
5,XLRE,O,Buy,11.750471201599776
11,XLRE,AVB,Buy,7.904955363311767
19,XLRE,ESS,Buy,7.60832814913124
26,XLRE,REG,Buy,6.9895369286757685
17,XLRE,VTR,Buy,6.836003207258751
7,XLRE,DLR,Buy,6.813860731359297
15,XLRE,EXR,Buy,6.599816869020541
27,XLRE,FRT,Buy,6.431652426843511
21,XLRE,UDR,Buy,6.347752426267705
20,XLRE,CPT,Buy,4.80377848886137
18,XLRE,MAA,Buy,2.9406727446221526
14,XLRE,EQR,Buy,2.392279967341441
22,XLRE,IRM,Buy,-2.801655982971562
