ETF,Ticker,Technical Action,Score
XLRE,BXP,Sell,26.261942421779153
XLRE,IRM,Sell,21.33234356464146
XLRE,PLD,Sell,21.28326233549869
XLRE,PSA,Sell,16.34926386907046
XLRE,EQIX,Sell,15.609326136118472
XLRE,SPG,Sell,15.416404856563593
XLRE,VNO,Sell,12.439384499041331
XLRE,CBRE,Sell,12.224836415459439
XLRE,CPT,Sell,11.342553753067929
XLRE,EXR,Sell,11.170309990890487
XLRE,WY,Sell,11.089271322864738
XLRE,DLR,Buy,10.65236340866211
XLRE,ESS,Sell,10.331207892400315
XLRE,REG,Buy,9.827658590965244
XLRE,KIM,Sell,9.732629385342785
XLRE,EQR,Sell,8.063362678193416
XLRE,HST,Sell,5.727784475848945
XLRE,FRT,Sell,4.34192844394709
