ETF,Ticker,Technical Action,Score
XLRE,CCI,Buy,34.33399006031054
XLRE,IRM,Sell,26.569133800482206
XLRE,PSA,Sell,26.230497976207815
XLRE,AMT,Buy,23.022015653608157
XLRE,EQIX,Sell,22.140766733264485
XLRE,SPG,Sell,20.848187000840603
XLRE,BXP,Sell,19.498682674033525
XLRE,SBAC,Buy,18.006694358082868
XLRE,ESS,Sell,16.085651486783796
XLRE,WELL,Buy,14.738582655933339
XLRE,VTR,Buy,13.653127679360226
XLRE,AVB,Sell,13.272606681821348
XLRE,VNO,Sell,13.233336836124728
XLRE,CBRE,Sell,11.82232615590586
XLRE,PLD,Sell,11.417031001660366
XLRE,UDR,Sell,10.616495145875932
XLRE,EXR,Sell,10.049403465375395
XLRE,MAA,Buy,9.892891618513222
XLRE,CPT,Sell,9.482281462403892
XLRE,KIM,Sell,9.401921799954977
XLRE,WY,Sell,9.363233096082231
XLRE,O,Buy,8.672671116719552
XLRE,DLR,Sell,8.41911136469744
XLRE,REG,Sell,7.3021725170196445
XLRE,EQR,Sell,7.168619967451729
XLRE,VICI,Buy,7.0592787919940605
XLRE,HST,Sell,6.619300324260366
XLRE,ARE,Sell,4.683898931060371
XLRE,FRT,Sell,4.224953872683576
