ETF,Ticker,Technical Action,Score
XLRE,BXP,Sell,37.54866329937618
XLRE,IRM,Sell,31.924310993709472
XLRE,SPG,Sell,19.139504678253928
XLRE,PLD,Sell,15.596824324474804
XLRE,EQIX,Sell,13.484481182886674
XLRE,PSA,Sell,13.332755478324088
XLRE,DLR,Buy,11.888374947512059
XLRE,VNO,Sell,11.224264048848248
XLRE,CBRE,Sell,10.657046026857284
XLRE,ESS,Sell,10.528731374458303
XLRE,REG,Buy,8.48732913264988
XLRE,CPT,Sell,7.759758814595321
XLRE,KIM,Sell,7.730756640686376
XLRE,WY,Sell,7.715109860823357
XLRE,EXR,Sell,7.339274799037399
XLRE,HST,Sell,7.260589935301597
XLRE,EQR,Sell,6.004498196547273
XLRE,FRT,Sell,4.558857075157962
