,ETF,Ticker,Technical Action,Score
27,XLU,NRG,Sell,326.9850726390888
28,XLU,PNW,Buy,93.4449227592461
2,XLU,SO,Sell,66.11819090437714
3,XLU,D,Sell,58.45026824271838
16,XLU,ETR,Sell,56.347642755372
1,XLU,DUK,Sell,46.59226017048122
23,XLU,EVRG,Sell,36.879504338258776
14,XLU,EIX,Buy,35.78798808943779
4,XLU,AEP,Sell,31.23226701914745
9,XLU,WEC,Sell,28.034996653458798
18,XLU,PPL,Sell,21.837092285065513
11,XLU,ES,Sell,19.827210039601304
26,XLU,NI,Buy,19.799381471453703
8,XLU,ED,Sell,5.243652955140467
10,XLU,PEG,Sell,2.279219912245109
13,XLU,DTE,Sell,2.115914508451241
15,XLU,AEE,Sell,-1.0611106675541688
7,XLU,XEL,Sell,-1.195616960316083
24,XLU,LNT,Sell,-1.6445924551024436
19,XLU,CMS,Sell,-6.23129428775552
17,XLU,FE,Sell,-8.101846228444312
22,XLU,ATO,Buy,-31.246826414166986
5,XLU,SRE,Sell,-42.86191291638332
21,XLU,CNP,Sell,-52.090537694357344
6,XLU,EXC,Sell,-77.1782599245525
0,XLU,NEE,Sell,-82.37033906987094
12,XLU,AWK,Sell,-118.0510819847754
20,XLU,CEG,Sell,-189.16926500790836
25,XLU,AES,Sell,-233.8719659700575
