ETF,Ticker,Technical Action,Score
XLU,CEG,Buy,47.44529985311956
XLU,EIX,Ignore,26.837224094388613
XLU,AWK,Ignore,22.351318741871385
XLU,AES,Ignore,21.22442366921865
XLU,ATO,Ignore,20.743152982000606
XLU,PNW,Ignore,20.715496690610163
XLU,NRG,Buy,19.480818656386905
XLU,NEE,Sell,19.471615173984922
XLU,CNP,Ignore,18.79947738574557
XLU,ETR,Ignore,18.613354932915094
XLU,DUK,Ignore,17.99874272542226
XLU,PPL,Ignore,17.33294646793166
XLU,PEG,Ignore,17.166054349987057
XLU,AEE,Ignore,16.82905677966659
XLU,DTE,Ignore,16.817374886322916
XLU,ES,Buy,16.26700337130329
XLU,ED,Ignore,15.71135327236616
XLU,SO,Ignore,14.920261791637515
XLU,EXC,Ignore,14.893773045000788
XLU,CMS,Ignore,14.528343047497957
XLU,AEP,Ignore,14.374969264140535
XLU,FE,Ignore,13.965415780173592
XLU,EVRG,Ignore,13.478657797939842
XLU,NI,Ignore,12.616547533677595
XLU,D,Buy,11.864608985479553
XLU,WEC,Ignore,11.827323101381086
XLU,SRE,Ignore,11.173175701859135
XLU,LNT,Ignore,10.161359500371235
XLU,XEL,Ignore,9.282906347012382
