,Ticker,Technical Action,Score
210,NCLH,Sell,179.8706015160385
428,CINF,Sell,94.21879844510318
387,GS,Sell,42.576558986837746
208,WYNN,Sell,34.006643270514196
384,WFC,Sell,33.58364100747239
412,DFS,Sell,32.64061609471148
407,PRU,Sell,32.126836744117725
415,TROW,Sell,31.512681132511183
386,MS,Sell,29.440596362245287
205,RCL,Sell,29.107636028020465
117,LYV,Sell,27.212937251531507
444,ZION,Sell,25.435815476882684
402,COF,Sell,24.639760879715652
431,SYF,Sell,24.503847659897957
191,NVR,Sell,22.661374455318498
156,TSLA,Sell,21.354623728702812
472,MRNA,Sell,19.759209940695495
368,VTR,Sell,19.239797799188928
401,MCO,Sell,18.681995485120805
429,KEY,Sell,17.515135918783134
426,RF,Sell,16.698903988624043
447,IVZ,Sell,15.74364124765707
419,FITB,Sell,15.503743256306356
417,SIVB,Sell,15.404306902237627
410,AFL,Sell,14.304926452867974
382,JPM,Sell,14.12275252618514
397,TFC,Sell,13.938320214089106
390,BLK,Sell,13.426740920554936
305,AAL,Sell,12.158569661514017
172,CMG,Sell,11.906599558679837
204,CCL,Sell,11.824586600803922
437,L,Sell,10.341087208965826
440,CMA,Sell,10.157549924149638
398,USB,Sell,10.105054104505667
169,AZO,Buy,9.922014237471531
163,BKNG,Sell,9.725604749660032
438,RE,Sell,9.39544568091087
414,MTB,Sell,9.365621051919897
446,BEN,Sell,9.159269615532914
197,MGM,Sell,8.699572131359332
301,UAL,Sell,8.6717131655061
193,LVS,Buy,8.44721779148593
202,CZR,Sell,8.071724628754472
144,CF,Sell,8.02855541949278
450,PFE,Sell,7.970208340094432
100,GOOGL,Sell,7.908465951278319
101,GOOG,Sell,7.900054568198656
98,CDAY,Sell,7.778790288650799
198,ETSY,Sell,7.221051818912937
227,DTE,Sell,7.179145668890262
64,ENPH,Sell,7.111828045582529
174,HLT,Sell,6.846808221138222
389,C,Buy,6.807711780491052
170,MAR,Sell,6.730518408793977
395,PGR,Buy,6.7054107113678905
75,MPWR,Sell,6.476066589209885
377,HST,Sell,6.440889878467318
168,ORLY,Sell,6.410728123661171
187,DPZ,Buy,6.222602999326327
320,COST,Buy,6.2145952587100926
158,MCD,Buy,5.751598920090478
186,POOL,Sell,5.612332773088074
79,SEDG,Sell,5.517790928260279
181,ULTA,Sell,5.439432145021
281,LUV,Sell,5.41310850227801
421,HIG,Sell,5.398580009582478
284,DAL,Sell,5.3958888352801875
485,MTD,Sell,5.306976222546564
383,BAC,Sell,5.258429378823046
88,PAYC,Sell,5.233127035107281
27,AVGO,Sell,5.210339508917994
282,GWW,Sell,5.184413894621839
165,DG,Buy,5.147296705607461
418,STT,Sell,5.143380750963518
176,APTV,Sell,5.141494114313091
490,STE,Sell,5.125286121192228
159,NKE,Sell,5.1234886199740615
173,YUM,Buy,5.098462656176908
297,GNRC,Sell,5.078974854610104
179,TSCO,Sell,5.049973623812941
37,INTU,Sell,5.0346089131457425
43,ADI,Sell,5.032116115126829
138,ALB,Sell,4.993621857351538
74,EPAM,Sell,4.941038996449587
171,DLTR,Sell,4.919610409356135
333,HSY,Sell,4.891571744085002
468,REGN,Sell,4.856603934949712
182,GPC,Sell,4.821092572442336
273,TDG,Sell,4.795552932246898
157,HD,Buy,4.778729131802817
285,PWR,Buy,4.7764236251658
216,SO,Sell,4.7600200883313715
39,NOW,Sell,4.69089210771549
24,NVDA,Sell,4.661019995724221
454,TMO,Buy,4.637217965223705
214,NEE,Sell,4.593244037891942
68,ANET,Sell,4.5375249221012215
17,CTRA,Buy,4.475291875354653
314,ALK,Sell,4.427511887478152
280,ODFL,Sell,4.400162943661632
329,SYY,Sell,4.332517465815436
332,MNST,Sell,4.326755456014775
501,TECH,Sell,4.304781920947782
141,VMC,Sell,4.293294308236122
432,PFG,Sell,4.289458686135221
316,SPGI,Sell,4.220454548805344
326,EL,Buy,4.21373722826751
49,SNPS,Sell,4.164337632024927
162,TJX,Buy,4.159361705992146
293,JBHT,Sell,4.135969228591105
503,ABMD,Sell,4.1205161223742826
45,LRCX,Sell,4.115682562438326
264,CTAS,Sell,4.08538469237185
5,PXD,Sell,4.083303930967215
354,PSA,Sell,4.059162873056464
142,MLM,Sell,4.04465312416264
448,UNH,Buy,4.031586216059871
465,VRTX,Buy,3.946756825503766
160,LOW,Sell,3.897232800035831
87,TYL,Sell,3.885754506991889
36,AMD,Sell,3.8682102528730855
18,FANG,Sell,3.8629368423466577
190,EXPE,Sell,3.8617446452371316
194,AAP,Sell,3.812294465467406
26,MA,Buy,3.806578741958354
355,O,Buy,3.783394173435617
360,VICI,Sell,3.7744639156830972
452,LLY,Sell,3.765316663963647
30,ADBE,Sell,3.7467465855879496
277,CPRT,Sell,3.724454675854883
1,CVX,Buy,3.7222404835541676
484,ILMN,Sell,3.7194451043313683
29,ACN,Sell,3.6977564294813634
175,ROST,Sell,3.6719984512185535
225,ES,Sell,3.670026282135846
254,NOC,Buy,3.662408412351844
185,DRI,Buy,3.6266867615234823
229,AEE,Buy,3.6253753413046654
55,FTNT,Sell,3.6104729156708952
183,GRMN,Sell,3.6023743509950585
233,CMS,Buy,3.5732439807965664
257,NSC,Sell,3.562667528679838
128,APD,Sell,3.5544507973104063
48,KLAC,Sell,3.5265810014674317
126,LIN,Sell,3.5248160941650566
286,URI,Sell,3.5231034101581375
50,ROP,Sell,3.5003400975390813
345,HRL,Buy,3.487035482141876
347,LW,Sell,3.4700628679148906
70,IT,Sell,3.4597931875292014
13,HES,Buy,3.4325165059772824
491,WAT,Sell,3.4317933845144157
145,MOS,Sell,3.423893766043779
209,PENN,Sell,3.419810835554595
31,CRM,Sell,3.4127566314486084
294,IEX,Sell,3.4023205744117693
311,ROL,Buy,3.389414904325255
482,IDXX,Sell,3.3703141013283195
8,VLO,Buy,3.3290784643558085
135,IFF,Sell,3.3272077874565236
196,HAS,Sell,3.323202337177441
493,CTLT,Buy,3.30936138983919
164,TGT,Sell,3.3063816130589316
246,UNP,Sell,3.2663458477399345
479,RMD,Buy,3.2423897638936783
188,KMX,Sell,3.2317539371116943
51,CDNS,Sell,3.225515693849039
53,ADSK,Sell,3.156715359116646
76,FLT,Sell,3.1473588196282574
238,LNT,Sell,3.143615327031912
302,CHRW,Sell,3.1094692190739393
33,QCOM,Buy,3.102873603459412
276,AME,Sell,3.1025962534339917
319,PEP,Buy,3.0939841199264753
127,SHW,Sell,3.093822468747884
275,RSG,Sell,3.061875015351534
25,V,Buy,3.059032675025997
192,LKQ,Sell,3.0531203023776503
134,NUE,Sell,3.0515514392162943
487,WST,Sell,3.051013851182407
330,STZ,Sell,3.0482717726734894
256,WM,Sell,3.0274432533069113
7,MPC,Buy,3.011420397476811
274,FAST,Sell,2.999530046944555
130,ECL,Sell,2.9909587207006787
259,ITW,Sell,2.9846801569099535
222,ED,Buy,2.9557114519456062
318,KO,Buy,2.9447673558054395
240,NI,Buy,2.930223400555271
211,RL,Sell,2.9196631924977092
147,AVY,Sell,2.9176537091919665
303,NDSN,Sell,2.9172243857831166
279,ROK,Sell,2.908690419582816
255,CSX,Sell,2.8994646582685775
270,VRSK,Sell,2.898328557809469
483,DXCM,Sell,2.8712586904209036
363,CBRE,Buy,2.8625848454017384
223,WEC,Buy,2.85757079508475
456,DHR,Buy,2.8258627813601174
91,JKHY,Sell,2.823879042137681
336,KDP,Sell,2.8072776572409595
221,XEL,Buy,2.792663216982165
466,ISRG,Sell,2.777363402977082
40,ADP,Sell,2.7751261101726867
250,DE,Sell,2.7642994046334355
184,VFC,Sell,2.763522611692208
139,LYB,Sell,2.7555447544977785
278,EFX,Buy,2.7501667062327284
268,TT,Sell,2.7226155191829324
507,BIO,Sell,2.7154007981591484
365,EXR,Sell,2.685041159645163
69,ANSS,Sell,2.6561910701670373
338,TSN,Sell,2.642589635074737
317,PG,Sell,2.6368590921889625
199,WHR,Sell,2.6281559155101926
2,OXY,Buy,2.622052910746564
72,TDY,Sell,2.618891249406202
288,IR,Sell,2.610550794073833
52,NXPI,Buy,2.605600017510694
16,OKE,Sell,2.603426416530757
258,FDX,Buy,2.5998299102627693
291,EXPD,Sell,2.5982043981545986
463,ZTS,Sell,2.50820641076344
342,CLX,Buy,2.4977418155159414
219,SRE,Sell,2.494037645975182
54,APH,Sell,2.4865018815625444
353,EQIX,Sell,2.472342642565137
206,MHK,Sell,2.462294032277251
73,BR,Sell,2.44942719260531
109,DIS,Sell,2.4448099562729984
177,EBAY,Sell,2.4347807290809964
261,GD,Sell,2.424675102018409
236,ATO,Sell,2.398222438099575
56,PAYX,Sell,2.3967442290537746
226,AWK,Buy,2.3737762386959274
453,MRK,Sell,2.363648960613328
339,CHD,Sell,2.3553706978583095
203,NWL,Sell,2.353714261261551
78,VRSN,Sell,2.3446668548356175
325,CL,Buy,2.3322776849991684
102,TMUS,Buy,2.328086196300045
251,BA,Sell,2.3264732808834503
455,ABT,Sell,2.325482720422075
247,HON,Sell,2.3143857410578854
471,HUM,Sell,2.2820259646126377
295,XYL,Sell,2.2518217665766667
469,SYK,Sell,2.251533310241289
350,AMT,Buy,2.243416433214824
114,MTCH,Sell,2.239161575724115
476,IQV,Sell,2.2211685526705955
112,TWTR,Sell,2.2202633199099355
189,BBY,Sell,2.2173044329985543
300,HWM,Sell,2.197216456252644
359,SPG,Sell,2.196419929359604
283,FTV,Sell,2.1938638919244813
77,ZBRA,Sell,2.1784881241636875
207,BBWI,Sell,2.1618666778956395
478,A,Buy,2.157780462992692
260,ETN,Sell,2.135455296254074
131,CTVA,Sell,2.1286263609451535
11,KMI,Buy,2.108462335594453
150,CE,Sell,2.1035198475179735
155,AMZN,Sell,2.0944146733695677
470,EW,Sell,2.0744835144665763
475,MCK,Sell,2.072714896844691
235,CNP,Sell,2.071631814342342
200,TPR,Buy,2.069350360828049
496,MOH,Sell,2.0594836812898456
331,ADM,Sell,2.045661039092698
376,KIM,Sell,1.9974159836939047
228,EIX,Sell,1.9897965246792468
180,LEN,Buy,1.988516218501862
266,PH,Sell,1.9547835089322598
201,BWA,Buy,1.9522997405831624
292,WAB,Buy,1.9284806111309911
93,PTC,Buy,1.9283601515110438
213,PVH,Sell,1.9128964668451673
6,SLB,Sell,1.9088556382859094
22,AAPL,Sell,1.9067236468923983
373,UDR,Sell,1.9065245840094074
4,EOG,Sell,1.9020535672266985
178,DHI,Buy,1.8856742969552676
346,TAP,Sell,1.8812834687501758
289,SWK,Sell,1.8614621917103236
167,F,Sell,1.8584684138418999
340,MKC,Sell,1.8519408153599637
9,WMB,Buy,1.8457032215461326
462,CI,Buy,1.8411235966785768
218,AEP,Sell,1.8369688906120323
15,HAL,Sell,1.8223353890486909
488,ABC,Sell,1.8135432629681467
367,ARE,Sell,1.7605091521773928
244,RTX,Sell,1.746528116069216
271,CMI,Sell,1.7237297383565702
500,COO,Sell,1.7076045064401821
3,COP,Sell,1.66507327284649
344,SJM,Buy,1.6574434125075839
253,GE,Sell,1.6572547972481428
473,BSX,Sell,1.6533854886553134
370,ESS,Sell,1.6390754696244603
67,CDW,Sell,1.6328487441214001
310,HII,Sell,1.6288261082667508
94,QRVO,Sell,1.6285132009060717
215,DUK,Buy,1.6147943683961286
105,CHTR,Sell,1.5935883600612901
248,LMT,Buy,1.5752713895504873
62,MCHP,Sell,1.5639290630649576
166,GM,Sell,1.5315259563415762
80,SWKS,Sell,1.5073373098721423
480,BAX,Sell,1.4792222217866264
10,PSX,Sell,1.476265167872325
14,BKR,Sell,1.4653469407214883
361,AVB,Sell,1.465299904793136
66,ON,Buy,1.4037044162030836
272,PCAR,Sell,1.3997676133884789
499,INCY,Sell,1.370133463328759
408,ALL,Sell,1.3699113230736932
495,PKI,Sell,1.355852027994395
298,TXT,Sell,1.3524725679898584
458,AMGN,Buy,1.3461308877327836
269,OTIS,Sell,1.3422399788082815
372,CPT,Sell,1.3399041942355856
358,SBAC,Buy,1.3143525159844176
369,MAA,Sell,1.3138762260848926
220,EXC,Buy,1.2851649051749159
44,MU,Sell,1.2674606704660543
477,HCA,Sell,1.2565965621326383
379,FRT,Sell,1.2353907673962228
375,BXP,Sell,1.2280521625438259
498,CAH,Sell,1.1927054833486892
304,SNA,Sell,1.1887139945265137
352,CCI,Buy,1.1719663178317856
249,CAT,Sell,1.1579963510457425
356,WELL,Sell,1.1455880923862614
12,DVN,Buy,1.1431792300544015
35,IBM,Sell,1.13516690472259
95,FFIV,Sell,1.1342140905546318
110,EA,Buy,1.1306802809088525
61,GPN,Sell,1.1294327167288862
89,WDC,Sell,1.11472668672604
327,KMB,Buy,1.1029101460362933
23,MSFT,Buy,1.0995686920047598
42,AMAT,Sell,1.0933530921339825
148,PKG,Sell,1.084047240747429
451,ABBV,Sell,1.07893498668029
152,WRK,Sell,1.0619271093418652
0,XOM,Buy,1.0559232272121246
459,CVS,Sell,1.0546720531371068
374,IRM,Sell,0.9901317436647412
242,PNW,Sell,0.98725647885742
306,RHI,Sell,0.9637710257727912
474,CNC,Sell,0.9612126596962169
34,TXN,Sell,0.9586664070158335
511,UHS,Sell,0.9323555229448002
506,CRL,Sell,0.9278432876396604
232,PPL,Sell,0.9037557918719279
217,D,Buy,0.882564681121256
378,REG,Sell,0.8758279341402618
133,DOW,Sell,0.8360151850384042
245,UPS,Sell,0.8347372625277767
323,PM,Sell,0.8335370869577342
334,KR,Sell,0.8286025010080187
230,ETR,Sell,0.8136880672734965
47,FISV,Sell,0.8039675235178394
151,EMN,Sell,0.7967674769878261
58,MSI,Sell,0.7925830821034071
46,FIS,Sell,0.7693798760075916
351,PLD,Sell,0.7624678079233271
364,EQR,Sell,0.7427413169950372
309,FBHS,Sell,0.6844193250671159
149,FMC,Sell,0.6722527679409468
328,GIS,Sell,0.6701185594780393
82,NTAP,Sell,0.6447274119686167
380,VNO,Sell,0.6281710318925354
321,WMT,Sell,0.6152339175100414
