,ETF,Ticker,Technical Action,Score,Market Cap
16,XLV,GILD,Buy,567.8935888514997,78235680768.0
50,XLV,CAH,Buy,351.1735127960388,19048867840.0
5,XLV,MRK,Buy,325.3831638238943,225465401344.0
10,XLV,AMGN,Buy,312.07428955211896,135549952000.0
9,XLV,BMY,Buy,273.23257180233014,158016176128.0
11,XLV,CVS,Buy,192.2722132047323,132085202944.0
14,XLV,CI,Buy,97.6677408517875,94413889536.0
40,XLV,ABC,Buy,57.562618519809554,30426961920.0
19,XLV,BDX,Buy,44.93930937300295,72323964928.0
0,XLV,UNH,Buy,41.36348918181878,495051440128.0
29,XLV,HCA,Buy,33.54499934119758,63753494528.0
4,XLV,LLY,Buy,28.361302078738625,301862158336.0
13,XLV,ELV,Buy,16.853154878866253,0.0
27,XLV,MCK,Buy,-32.36843164248548,54475411456.0
23,XLV,HUM,Buy,-45.732177432641095,62558781440.0
31,XLV,RMD,Buy,-58.84808466010321,32226641920.0
30,XLV,A,Buy,-76.0831133336554,39220867072.0
8,XLV,DHR,Buy,-113.641020737239,200317370368.0
6,XLV,TMO,Buy,-118.56293749256105,222128799744.0
17,XLV,VRTX,Buy,-133.22146927652818,71617699840.0
48,XLV,MOH,Buy,-136.56004787323835,19768983552.0
26,XLV,CNC,Buy,-138.22298497014944,52480258048.0
37,XLV,MTD,Buy,-147.20347044878739,28776028160.0
25,XLV,BSX,Buy,-165.1800452351383,57740595200.0
28,XLV,IQV,Buy,-166.37598134194792,41965756416.0
