ETF,Ticker,Technical Action,Score
XLV,HCA,Buy,27.09537754766622
XLV,MCK,Buy,23.893548066160797
XLV,ELV,Buy,23.14238207490326
XLV,LLY,Buy,23.08130943442442
XLV,VRTX,Buy,21.152995171828483
XLV,CI,Buy,15.811572394782624
XLV,BSX,Buy,15.761697486582399
XLV,MOH,Buy,14.50403059546976
XLV,EW,Buy,12.434999815380467
XLV,CAH,Buy,11.034999199335699
XLV,ABT,Buy,9.857728346796339
XLV,GILD,Buy,8.580322085524752
XLV,IDXX,Buy,8.265301916130815
XLV,CVS,Buy,8.06777727741684
XLV,STE,Buy,6.813913917166182
XLV,DGX,Buy,6.7519608651336505
