ETF,Ticker,Technical Action,Score
XLV,VRTX,Buy,47.10429638309288
XLV,HCA,Buy,20.538383374814757
XLV,ELV,Buy,19.612966370428992
XLV,LLY,Buy,18.705946308438406
XLV,BSX,Buy,13.521365417910825
XLV,MCK,Buy,13.319265375596823
XLV,CAH,Buy,11.38326724569487
XLV,EW,Buy,9.503367851582349
XLV,GILD,Buy,9.328932487517548
XLV,CI,Buy,9.099254348838933
XLV,IDXX,Buy,8.848778977397389
XLV,ABT,Buy,8.587789041149064
XLV,MOH,Buy,7.620175113374056
XLV,CVS,Buy,7.218739614087871
XLV,DGX,Buy,6.985730519349675
XLV,STE,Buy,4.912418080609878
