ETF,Ticker,Technical Action,Score
XLY,WHR,Sell,34.315116161623344
XLY,NVR,Sell,30.48585447906767
XLY,ORLY,Buy,30.352679062863313
XLY,CCL,Sell,30.09669188630973
XLY,BKNG,Buy,28.709358805547364
XLY,TJX,Buy,24.572940438511466
XLY,WYNN,Sell,23.84814922184017
XLY,AZO,Buy,23.18292077685102
XLY,HD,Sell,21.29174041359556
XLY,DLTR,Buy,21.018908988322885
XLY,MCD,Buy,19.57563934575951
XLY,AAP,Sell,17.348167592632134
XLY,HLT,Sell,17.24851636154178
XLY,VFC,Sell,16.5211582568474
XLY,AMZN,Sell,14.938289215166638
XLY,TSLA,Sell,13.98551170458027
XLY,NCLH,Sell,13.980083465890662
XLY,RCL,Sell,12.49935543174772
XLY,HAS,Sell,12.080076383223844
XLY,GRMN,Sell,11.189410977413495
XLY,CMG,Sell,11.112601813448004
XLY,ROST,Sell,10.840502337252035
XLY,DRI,Buy,10.389392578993995
XLY,EXPE,Sell,10.261138132537472
XLY,MAR,Sell,9.47412828295172
XLY,TPR,Buy,8.453478739192914
XLY,NWL,Sell,8.20133547513356
XLY,CZR,Sell,8.025641944405042
XLY,BBY,Sell,7.552050556862877
XLY,EBAY,Buy,7.387401304733549
XLY,LOW,Sell,7.3466334435824505
XLY,ULTA,Buy,6.970519688644741
XLY,MGM,Sell,6.890346139217466
XLY,F,Sell,6.744746537973089
XLY,PHM,Sell,6.519666763061297
XLY,PENN,Sell,6.469686679466373
XLY,TSCO,Sell,6.4369623920963726
XLY,LVS,Sell,6.406002385990933
XLY,GM,Sell,6.375466425973601
XLY,RL,Sell,6.361697545878604
XLY,MHK,Sell,5.987760668782817
XLY,APTV,Sell,5.655499642827865
XLY,KMX,Sell,5.605598705665944
XLY,BBWI,Sell,5.527356787920469
XLY,SBUX,Sell,5.056504277648773
XLY,POOL,Sell,5.009021099229906
XLY,YUM,Buy,4.937477264419826
XLY,PVH,Sell,4.772431115506284
XLY,LKQ,Sell,4.324172437999442
XLY,DPZ,Buy,4.295295987934751
XLY,BWA,Sell,3.8492304726391686
XLY,TGT,Sell,3.2237428492983997
XLY,DHI,Sell,3.12171423272138
XLY,ETSY,Sell,3.019062633922018
XLY,DG,Buy,2.800026708347259
XLY,GPC,Sell,2.5038329253765212
XLY,NKE,Sell,2.1701253170118653
XLY,LEN,Sell,1.321968481619028
