ETF,Ticker,Technical Action,Score
XLY,WHR,Sell,34.50263005928214
XLY,CCL,Sell,30.821247853260637
XLY,NVR,Sell,30.6738695827345
XLY,BKNG,Buy,29.425133902417777
XLY,TJX,Buy,24.67393955226009
XLY,HD,Sell,24.48304203751696
XLY,AZO,Buy,24.083345486577308
XLY,DLTR,Buy,21.31762294711935
XLY,WYNN,Buy,20.56735418693317
XLY,AAP,Sell,17.513625858273205
XLY,VFC,Sell,16.975126223483787
XLY,TSLA,Buy,15.978656195260232
XLY,NCLH,Sell,15.57629885412692
XLY,AMZN,Sell,14.753827605128192
XLY,RCL,Buy,13.061145192949857
XLY,HAS,Buy,12.484673876537165
XLY,MAR,Sell,11.834744560482005
XLY,HLT,Buy,11.69363153235389
XLY,ROST,Buy,11.634037190029105
XLY,CMG,Sell,11.322985542434127
XLY,DRI,Buy,11.100122160135143
XLY,EXPE,Sell,10.909683932155302
XLY,GRMN,Sell,10.772533334746544
XLY,TPR,Buy,9.5047710666036
XLY,CZR,Sell,8.567833045743246
XLY,LOW,Sell,8.236324272881443
XLY,NWL,Sell,8.200645468630302
XLY,BBY,Sell,7.7902467974465015
XLY,EBAY,Buy,7.7228288927212425
XLY,MGM,Sell,7.339079774040139
XLY,ULTA,Buy,7.294300467558443
XLY,RL,Buy,7.144080880298471
XLY,LVS,Sell,7.028094926319987
XLY,GM,Sell,6.970247480940431
XLY,TSCO,Sell,6.887418570356541
XLY,SBUX,Sell,6.733100240797209
XLY,F,Buy,6.623900241146436
XLY,PENN,Sell,6.589398571906567
XLY,BBWI,Sell,6.285072960206114
XLY,PHM,Sell,6.197636037952185
XLY,MHK,Sell,5.7284058233076225
XLY,DPZ,Buy,5.286873086038668
XLY,PVH,Sell,5.162676843465849
XLY,POOL,Sell,5.159858399555139
XLY,KMX,Sell,5.009776344936286
XLY,APTV,Buy,4.931497885895173
XLY,LKQ,Buy,4.577649499926867
XLY,ETSY,Sell,3.9607055699406812
XLY,TGT,Sell,3.456622453247193
XLY,BWA,Buy,3.2025931102052656
XLY,GPC,Sell,2.894681645163228
XLY,DHI,Sell,2.6836967643720424
XLY,NKE,Sell,2.5078134242129404
XLY,LEN,Sell,0.8726785491984554
