ETF,Ticker,Technical Action,Score
XLY,NVR,Sell,63.76527575538715
XLY,BKNG,Buy,40.58846482797579
XLY,WHR,Sell,30.23524649063287
XLY,AZO,Buy,28.740710071637196
XLY,WYNN,Sell,27.987713343691052
XLY,ORLY,Buy,24.43883177489802
XLY,HD,Sell,17.924785808050203
XLY,MCD,Buy,17.333589571939577
XLY,TJX,Buy,16.159860547350604
XLY,AMZN,Sell,15.362221867471067
XLY,TSLA,Sell,14.859929539502996
XLY,NCLH,Sell,13.651329453937212
XLY,DLTR,Buy,13.596075703945322
XLY,F,Sell,12.534812105979567
XLY,CCL,Sell,11.7910851525664
XLY,HLT,Sell,11.211065505786681
XLY,MAR,Sell,10.492725923468248
XLY,CMG,Sell,10.450556903446019
XLY,NWL,Sell,10.298013636356593
XLY,MGM,Sell,10.267300260844301
XLY,EXPE,Sell,10.106248963109824
XLY,RCL,Sell,9.997095312212235
XLY,BBY,Sell,9.964818614168783
XLY,CZR,Sell,9.925192303381246
XLY,PENN,Sell,9.894593136285032
XLY,TPR,Buy,9.432680852547701
XLY,ROST,Sell,9.149592772401403
XLY,HAS,Sell,9.093234509513783
XLY,VFC,Sell,8.68169700279594
XLY,DRI,Buy,8.654831456999586
XLY,KMX,Sell,8.632647362096968
XLY,EBAY,Buy,8.429477423308814
XLY,ULTA,Buy,7.704311419430232
XLY,GRMN,Sell,7.604274795173071
XLY,APTV,Sell,7.17012079743059
XLY,GM,Sell,7.124350415897584
XLY,SBUX,Sell,7.078756359750847
XLY,RL,Sell,6.994852463496114
XLY,TSCO,Sell,6.971457854336201
XLY,MHK,Sell,6.601764163317544
XLY,LVS,Sell,6.411736760750707
XLY,ETSY,Sell,6.282825109667935
XLY,PHM,Sell,6.195651542273208
XLY,YUM,Buy,5.892879064621593
XLY,LOW,Sell,5.8733331411315355
XLY,BBWI,Sell,5.739027426883581
XLY,AAP,Sell,5.671247273850083
XLY,PVH,Sell,5.452331292767735
XLY,TGT,Sell,5.374079209345345
XLY,LKQ,Sell,4.865405577828577
XLY,DPZ,Buy,4.79949639280038
XLY,BWA,Sell,4.731693725513708
XLY,POOL,Sell,4.599894628557676
XLY,GPC,Sell,3.9711460959236273
XLY,DHI,Sell,3.9519668977802773
XLY,DG,Buy,2.964390388259953
XLY,NKE,Sell,2.9617228932040707
XLY,LEN,Sell,1.6775666621094365
