ETF,Ticker,Technical Action,Score
XLY,BKNG,Buy,40.38849899267431
XLY,AZO,Buy,29.303306444273588
XLY,WYNN,Buy,24.286407535303315
XLY,TSLA,Buy,16.683472142714322
XLY,TJX,Buy,15.922494976853546
XLY,DLTR,Buy,13.937716907170389
XLY,F,Buy,12.883634790822049
XLY,HLT,Buy,12.14839489364185
XLY,RCL,Buy,10.608216508958765
XLY,TPR,Buy,10.12746531145611
XLY,ROST,Buy,9.584144817645285
XLY,HAS,Buy,9.44786740546012
XLY,DRI,Buy,9.38294201382601
XLY,EBAY,Buy,8.400447000482421
XLY,ULTA,Buy,7.962860835588271
XLY,RL,Buy,7.758833811282754
XLY,APTV,Buy,6.9304472472743806
XLY,DPZ,Buy,5.502995520135711
XLY,LKQ,Buy,5.0850578187838815
XLY,BWA,Buy,4.429525285649102
