ETF,Ticker,Technical Action,Score
XLY,WHR,Sell,53.07735320858286
XLY,ORLY,Buy,35.24354399789291
XLY,TSLA,Sell,33.64765854303656
XLY,WYNN,Sell,32.13632254191719
XLY,MCD,Buy,28.125833320129978
XLY,HD,Sell,25.814994900316727
XLY,BKNG,Buy,22.858581248785626
XLY,TJX,Buy,22.48263665625777
XLY,NVR,Sell,20.16852562372597
XLY,AZO,Buy,19.271423919317602
XLY,VFC,Sell,17.384365007444714
XLY,CMG,Sell,13.874623964788396
XLY,HLT,Sell,13.744328919086431
XLY,NCLH,Sell,13.719793539658497
XLY,AMZN,Sell,13.127434971887084
XLY,EXPE,Sell,12.88855075006878
XLY,DLTR,Buy,12.787221318600688
XLY,AAP,Sell,12.724026204798482
XLY,CCL,Sell,12.491060266089605
XLY,CZR,Sell,12.430770556892133
XLY,MAR,Sell,12.230403283953796
XLY,RCL,Sell,12.158692843797187
XLY,DRI,Buy,10.631996410174358
XLY,PENN,Sell,10.248183474801452
XLY,NWL,Sell,10.23657329701282
XLY,HAS,Sell,10.101885667666147
XLY,TPR,Buy,9.692526553461342
XLY,ROST,Sell,9.68313133195627
XLY,BBY,Sell,8.460028177211283
XLY,GRMN,Sell,8.404768887379158
XLY,BBWI,Sell,8.339483424359713
XLY,ULTA,Buy,8.291975211449959
XLY,MGM,Sell,8.24076687565849
XLY,LVS,Sell,8.228890578336058
XLY,EBAY,Buy,8.21476497217182
XLY,TSCO,Sell,8.019647791923434
XLY,LOW,Sell,7.939560073256929
XLY,PHM,Sell,7.847960688218745
XLY,SBUX,Sell,7.812313891971776
XLY,KMX,Sell,7.7793596389394395
XLY,GM,Sell,7.577361808443676
XLY,F,Sell,7.386672913525096
XLY,APTV,Sell,7.34898671321794
XLY,RL,Sell,7.13724037101519
XLY,DPZ,Buy,6.990081233666785
XLY,PVH,Sell,6.974832761560585
XLY,YUM,Buy,6.895009805001741
XLY,ETSY,Sell,6.573274568164243
XLY,MHK,Sell,6.486341889982173
XLY,DHI,Sell,5.804763579286299
XLY,POOL,Sell,5.760891062807712
XLY,LKQ,Sell,5.558869820927399
XLY,BWA,Sell,5.482148645531121
XLY,TGT,Sell,4.278417244831614
XLY,LEN,Sell,4.201045202160797
XLY,DG,Buy,3.90739332701071
XLY,GPC,Sell,3.7229628800042676
XLY,NKE,Sell,3.255279072046779
