ETF,Ticker,Technical Action,Score
XLY,TSLA,Buy,38.57378920701359
XLY,WYNN,Buy,25.680149441380966
XLY,BKNG,Buy,22.803430942064953
XLY,TJX,Buy,22.099855924591427
XLY,AZO,Buy,19.648720551161965
XLY,HLT,Buy,14.27209126503581
XLY,DLTR,Buy,13.03617187470548
XLY,RCL,Buy,12.46385141489837
XLY,DRI,Buy,11.160104089644069
XLY,TPR,Buy,10.360573065389678
XLY,HAS,Buy,10.319256583546967
XLY,ROST,Buy,10.072591923584998
XLY,ULTA,Buy,8.608021669320863
XLY,EBAY,Buy,8.141705319093676
XLY,RL,Buy,7.54255032933604
XLY,F,Buy,7.456226268632184
XLY,DPZ,Buy,7.4201018799119005
XLY,APTV,Buy,6.4401636658498855
XLY,LKQ,Buy,5.792881036305108
XLY,BWA,Buy,4.432068967600045
