,ETF,Ticker,Technical Action,Score
11,XLE,KMI,Buy,229.55867564858167
12,XLE,DVN,Buy,156.7002055970213
8,XLE,VLO,Buy,17.71558006930159
43,XLK,GLW,Buy,305.3950922012493
11,XLK,QCOM,Buy,195.360313378624
30,XLK,NXPI,Buy,173.43070991109155
11,XLC,EA,Buy,-50.19613799611101
30,XLY,DRI,Buy,266.3430720110948
45,XLY,TPR,Buy,174.50845438946504
2,XLY,HD,Buy,124.64643990952982
1,XLU,DUK,Buy,60.478264292470925
26,XLU,NI,Buy,24.685396655867393
3,XLU,D,Buy,22.77177484290212
4,XLI,LMT,Buy,228.46192069688513
14,XLI,FDX,Buy,86.17131868704524
10,XLI,NOC,Buy,27.025592066825702
10,XLP,KMB,Buy,62.43677556447458
26,XLP,CAG,Buy,49.430743056660035
25,XLP,CLX,Buy,19.68282489134012
5,XLRE,O,Buy,35.40828046419735
2,XLRE,CCI,Buy,19.34349257185983
0,XLRE,AMT,Buy,8.982468319627236
7,XLF,C,Buy,136.95900969872713
10,XLV,AMGN,Buy,312.0920841384693
49,XLV,DGX,Buy,121.13246981615822
14,XLV,CI,Buy,86.16570194541755
