,ETF,Ticker,Technical Action,Score,weight,Dollar Amount
10,XLV,AMGN,Buy,317.8083020461386,9.606642014347216,480.33210071736085
43,XLK,GLW,Buy,307.39000926521857,9.291720067681307,464.58600338406535
4,XLI,LMT,Buy,238.51830075682855,7.209880656008165,360.49403280040826
11,XLE,KMI,Buy,236.84747883487807,7.159375404979286,357.9687702489643
11,XLK,QCOM,Buy,199.53201859975545,6.031411579706436,301.5705789853218
12,XLE,DVN,Buy,176.6693267724357,5.340322975490185,267.01614877450925
45,XLY,TPR,Buy,173.93427810774443,5.257648503979076,262.8824251989538
30,XLK,NXPI,Buy,149.48190681030215,4.518507405574654,225.92537027873271
18,XLI,EMR,Buy,143.61803493359128,4.341255528972067,217.0627764486034
7,XLF,C,Buy,130.32153013138355,3.9393315991865143,196.9665799593257
24,XLK,FIS,Buy,126.12772833123289,3.8125622469896565,190.62811234948282
16,XLK,ORCL,Buy,125.2393644274311,3.7857089711395724,189.28544855697862
49,XLV,DGX,Buy,119.62604929208504,3.616030870624886,180.8015435312443
6,XLP,PM,Buy,105.52959651104216,3.189926282834828,159.49631414174138
14,XLV,CI,Buy,99.85610807413309,3.018429276510521,150.92146382552605
17,XLB,AMCR,Buy,84.61322041805414,2.557670498234163,127.88352491170815
14,XLI,FDX,Buy,83.28440317271578,2.5175032921030804,125.87516460515401
3,XLY,MCD,Buy,79.20214202266226,2.394105567043185,119.70527835215925
1,XLU,DUK,Buy,65.66281313136648,1.9848416021442934,99.24208010721468
10,XLP,KMB,Buy,64.75250459462427,1.9573249885795003,97.86624942897502
7,XLY,TJX,Buy,61.954038626925296,1.8727335522704676,93.63667761352337
26,XLP,CAG,Buy,53.706202332807976,1.6234197043930063,81.17098521965032
5,XLRE,O,Buy,40.842237988654254,1.2345705159231886,61.728525796159424
8,XLE,VLO,Buy,33.9981541634495,1.0276890002371037,51.384450011855186
8,XLU,ED,Buy,30.146437713297388,0.9112601315160731,45.563006575803655
3,XLU,D,Buy,29.766320335703693,0.8997700239686466,44.98850119843233
2,XLRE,CCI,Buy,19.289509588633585,0.583079208621235,29.153960431061748
0,XLRE,AMT,Buy,10.496253638230618,0.3172785309416879,15.863926547084395
