ETF,Ticker,SentimentScore
XLP,PG,20
XLP,KO,20
XLP,PEP,-30
XLP,COST,30
XLP,WMT,-20
XLP,MDLZ,20
XLP,PM,40
XLP,MO,30
XLP,CL,10
XLP,EL,-10
XLP,KMB,30
XLP,GIS,-30
XLP,SYY,-40
XLP,STZ,20
XLP,ADM,-30
XLP,MNST,0
XLP,HSY,-10
XLP,KR,10
XLP,KHC,20
XLP,KDP,-10
XLP,WBA,40
XLP,TSN,-30
XLP,CHD,10
XLP,MKC,20
XLP,K,-10
XLP,CLX,0
XLP,CAG,0
XLP,SJM,0
XLP,HRL,0
XLP,BF.B,20
XLP,TAP,-10
XLP,LW,40
XLP,CPB,10
XLP,SSIXX,0
XLV,UNH,-10
XLV,JNJ,0
XLV,PFE,20
XLV,ABBV,10
XLV,LLY,-20
XLV,MRK,30
XLV,TMO,40
XLV,ABT,50
XLV,DHR,30
XLV,BMY,40
XLV,AMGN,0
XLV,CVS,-40
XLV,MDT,40
XLV,ELV,-10
XLV,CI,-20
XLV,ZTS,50
XLV,GILD,10
XLV,VRTX,-10
XLV,ISRG,-10
XLV,BDX,-50
XLV,REGN,0
XLV,SYK,50
XLV,EW,40
XLV,HUM,-10
XLV,MRNA,10
XLV,BSX,30
XLV,CNC,20
XLV,MCK,50
XLV,IQV,50
XLV,HCA,20
XLV,A,30
XLV,RMD,40
XLV,BAX,50
XLV,BIIB,10
XLV,IDXX,50
XLV,DXCM,50
XLV,ILMN,-10
XLV,MTD,0
XLV,LH,10
XLV,WST,20
XLV,ABC,-10
XLV,ZBH,-40
XLV,STE,50
XLV,WAT,40
XLV,ALGN,40
XLV,CTLT,50
XLV,HOLX,-20
XLV,PKI,40
XLV,MOH,40
XLV,DGX,30
XLV,CAH,40
XLV,INCY,50
XLV,COO,0
XLV,TECH,30
XLV,VTRS,-10
XLV,ABMD,30
XLV,TFX,10
XLV,HSIC,-10
XLV,CRL,-20
XLV,BIO,20
XLV,OGN,-60
XLV,SSIXX,0
XLV,XRAY,20
XLV,UHS,20
XLV,DVA,40
XLI,RTX,30
XLI,UPS,30
XLI,UNP,30
XLI,HON,30
XLI,LMT,10
XLI,CAT,30
XLI,DE,40
XLI,BA,0
XLI,MMM,50
XLI,GE,50
XLI,NOC,10
XLI,CSX,50
XLI,WM,30
XLI,NSC,0
XLI,FDX,20
XLI,ITW,0
XLI,ETN,40
XLI,GD,70
XLI,EMR,30
XLI,LHX,30
XLI,CTAS,10
XLI,JCI,40
XLI,PH,30
XLI,CARR,80
XLI,TT,60
XLI,OTIS,10
XLI,VRSK,60
XLI,CMI,20
XLI,PCAR,20
XLI,TDG,40
XLI,FAST,20
XLI,RSG,30
XLI,AME,20
XLI,CPRT,60
XLI,EFX,40
