ETF,Ticker,SentimentScore
XLK,JNPR,80
XLI,CARR,80
XLB,LIN,70
XLK,JKHY,70
XLI,GD,70
XLK,ACN,70
XLK,AMD,70
XLF,AIZ,70
XLY,GRMN,70
XLB,WRK,70
XLK,SNPS,70
XLY,MGM,70
XLI,TT,60
XLK,BR,60
XLF,SYF,60
XLI,PNR,60
XLC,EA,60
XLK,ROP,60
XLK,MSFT,60
XLRE,PEAK,60
XLRE,EXR,60
XLK,EPAM,60
XLU,ETR,60
XLB,VMC,60
XLE,MRO,60
XLI,ALLE,60
XLK,NOW,60
XLI,VRSK,60
XLK,PAYC,60
XLI,CPRT,60
XLK,WDC,60
XLI,NDSN,50
XLV,DXCM,50
XLK,ANET,50
XLV,IDXX,50
XLF,HIG,50
XLI,ROL,50
XLV,IQV,50
XLV,BAX,50
XLRE,DLR,50
XLF,FDS,50
XLV,STE,50
XLK,IT,50
XLY,TPR,50
XLY,BWA,50
XLI,CSX,50
XLI,GE,50
XLI,MMM,50
XLK,MPWR,50
XLI,PWR,50
XLK,AKAM,50
XLRE,PSA,50
XLI,EXPD,50
XLV,INCY,50
XLF,KEY,50
XLRE,WELL,50
XLV,CTLT,50
XLI,TXT,50
XLV,MCK,50
XLK,GLW,50
XLK,CDW,50
XLC,FOXA,50
XLK,QCOM,50
XLE,SLB,50
XLY,DLTR,50
XLK,ORCL,50
XLU,CEG,50
XLK,MU,50
XLK,FIS,50
XLB,FCX,50
XLF,ICE,50
XLU,ES,50
XLB,SHW,50
XLY,DPZ,50
XLF,MCO,50
XLU,AEP,50
XLK,ZBRA,50
XLK,ADSK,50
XLRE,VTR,50
XLK,APH,50
XLV,ABT,50
XLV,SYK,50
XLV,ZTS,50
XLRE,MAA,50
XLF,AMP,50
XLF,MSCI,50
XLF,MS,40
XLI,TDG,40
XLK,PYPL,40
XLY,CCL,40
XLK,V,40
XLF,DFS,40
XLI,ROK,40
XLK,INTU,40
XLK,KEYS,40
XLI,JCI,40
XLK,MA,40
XLK,ENPH,40
XLI,EFX,40
XLF,CB,40
XLK,FLT,40
XLI,GWW,40
XLF,PFG,40
XLF,MMC,40
XLK,FISV,40
XLK,TDY,40
XLC,DIS,40
XLI,ALK,40
XLK,KLAC,40
XLI,IEX,40
XLF,RF,40
XLF,ALL,40
XLF,HBAN,40
XLC,LUMN,40
XLI,WAB,40
XLY,APTV,40
XLI,ETN,40
XLY,AAP,40
XLV,MOH,40
XLV,PKI,40
XLV,ALGN,40
XLV,WAT,40
XLV,RMD,40
XLRE,AVB,40
XLRE,WY,40
XLRE,CBRE,40
XLV,EW,40
XLK,DXC,40
XLRE,EQR,40
XLY,BBY,40
XLV,MDT,40
XLV,BMY,40
XLV,TMO,40
XLRE,IRM,40
XLP,LW,40
XLU,AWK,40
XLY,POOL,40
XLP,WBA,40
XLU,FE,40
XLY,GPC,40
XLY,BKNG,40
XLY,LEN,40
XLU,ATO,40
XLP,PM,40
XLY,HLT,40
XLV,CAH,40
XLK,ADBE,40
XLV,DVA,40
XLY,WHR,40
XLK,TER,40
XLY,PHM,40
XLI,DE,40
XLK,NTAP,40
XLRE,FRT,30
XLE,CTRA,30
XLF,RE,30
XLF,PNC,30
XLI,CAT,30
XLRE,VNO,30
XLV,TECH,30
XLB,MLM,30
XLF,CBOE,30
XLI,HON,30
XLF,WRB,30
XLRE,UDR,30
XLK,STX,30
XLF,AIG,30
XLRE,ESS,30
XLV,MRK,30
XLF,TFC,30
XLB,MOS,30
XLB,CF,30
XLP,MO,30
XLY,ROST,30
XLK,INTC,30
XLE,APA,30
XLP,COST,30
XLU,NI,30
XLE,WMB,30
XLI,LHX,30
XLY,MAR,30
XLV,DHR,30
XLP,KMB,30
XLI,WM,30
XLU,CNP,30
XLB,SEE,30
XLI,PH,30
XLU,PPL,30
XLB,PKG,30
XLI,RSG,30
XLRE,CPT,30
XLF,TRV,30
XLF,STT,30
XLC,META,30
XLI,ODFL,30
XLK,FFIV,30
XLF,AJG,30
XLV,BSX,30
XLI,FBHS,30
XLV,A,30
XLF,WTW,30
XLC,GOOG,30
XLRE,SPG,30
XLF,NTRS,30
XLI,HWM,30
XLI,URI,30
XLV,ABMD,30
XLV,DGX,30
XLI,J,30
XLK,CDAY,30
XLRE,AMT,30
XLK,CTSH,30
XLI,UPS,30
XLC,CMCSA,30
XLI,UNP,30
XLI,EMR,30
XLU,SO,30
XLY,RCL,30
XLK,HPQ,30
XLY,EBAY,30
XLC,CHTR,30
XLK,GPN,30
XLI,RTX,30
XLK,VRSN,22
XLRE,EQIX,20
XLRE,BXP,20
XLK,CSCO,20
XLK,AVGO,20
XLRE,SBAC,20
XLF,PRU,20
XLF,BAC,20
XLF,CME,20
XLF,WFC,20
XLRE,VICI,20
XLF,PGR,20
XLRE,REG,20
XLY,TGT,20
XLY,RL,20
XLF,GS,20
XLRE,PLD,20
XLF,SCHW,20
XLP,KO,20
XLF,AON,20
XLF,AXP,20
XLF,BK,20
XLRE,HST,20
XLP,PG,20
XLE,OKE,20
XLI,PCAR,20
XLV,BIO,20
XLV,XRAY,20
XLV,UHS,20
XLK,SWKS,20
XLK,CRM,20
XLI,CMI,20
XLI,FAST,20
XLC,GOOGL,20
XLI,AME,20
XLK,HPE,20
XLI,XYL,20
XLI,GNRC,20
XLI,CHRW,20
XLK,ANSS,20
XLK,TRMB,20
XLK,TYL,20
XLV,WST,20
XLV,HCA,20
XLV,CNC,20
XLU,DUK,20
XLV,PFE,20
XLU,WEC,20
XLP,BF.B,20
XLU,PEG,20
XLU,DTE,20
XLP,MKC,20
XLP,KHC,20
XLP,STZ,20
XLU,LNT,20
XLP,MDLZ,20
XLU,NRG,20
XLI,AAL,20
XLI,FDX,20
XLC,FOX,20
XLK,TXN,20
XLB,ECL,20
XLK,IBM,20
XLB,AVY,20
XLB,CTVA,20
XLB,IP,20
XLE,OXY,20
XLK,PAYX,20
XLK,LRCX,20
XLC,T,20
XLB,AMCR,20
XLB,BALL,20
