Date,Signal,Return (%),Capital ($)
2020-05-11,No Signal,0.0,5000.0
2020-06-10,Buy,-0.44,4977.9
2020-07-10,Buy,5.35,5244.04
2020-08-09,Buy,-0.41,5222.73
2020-09-08,Buy,3.17,5388.4
2020-10-08,Buy,1.86,5488.4
2020-11-07,Buy,5.41,5785.11
2020-12-07,Buy,1.21,5855.02
2021-01-06,Buy,3.79,6076.96
2021-02-05,Buy,-1.05,6013.01
2021-03-07,Buy,5.86,6365.52
2021-04-06,Buy,3.19,6568.5
2021-05-06,Buy,0.84,6623.82
2021-06-05,Buy,2.63,6798.12
2021-07-05,Buy,1.21,6880.56
2021-08-04,Buy,3.21,7101.57
2021-09-03,Buy,-4.16,6806.27
2021-10-03,Buy,6.37,7239.81
2021-11-02,Buy,-0.97,7169.28
2021-12-02,Buy,3.84,7444.51
2022-01-01,Buy,-5.27,7051.88
2022-01-31,Buy,-2.67,6863.48
2022-03-02,No Signal,0.0,6863.48
2022-04-01,No Signal,0.0,6863.48
2022-05-01,No Signal,0.0,6863.48
2022-05-31,No Signal,0.0,6863.48
2022-06-30,No Signal,0.0,6863.48
2022-07-30,No Signal,0.0,6863.48
2022-08-29,Buy,-7.97,6316.28
2022-09-28,No Signal,0.0,6316.28
2022-10-28,No Signal,0.0,6316.28
2022-11-27,No Signal,0.0,6316.28
2022-12-27,Buy,6.12,6702.98
2023-01-26,Buy,-2.07,6564.36
2023-02-25,Buy,0.03,6566.19
2023-03-27,No Signal,0.0,6566.19
2023-04-26,Buy,3.87,6820.48
2023-05-26,Buy,3.14,7034.67
2023-06-25,Buy,5.13,7395.65
2023-07-25,Buy,-4.07,7094.42
2023-08-24,Buy,-1.48,6989.36
2023-09-23,Buy,-2.31,6827.62
2023-10-23,No Signal,0.0,6827.62
2023-11-22,No Signal,0.0,6827.62
2023-12-22,Buy,1.85,6954.19
2024-01-21,Buy,2.97,7160.75
2024-02-20,Buy,5.12,7527.47
2024-03-21,Buy,-5.18,7137.69
2024-04-20,Buy,7.05,7640.77
2024-05-20,Buy,3.48,7906.44
2024-06-19,Buy,0.09,7913.64
2024-07-19,Buy,0.97,7990.33
2024-08-18,Buy,1.58,8116.61
2024-09-17,Buy,3.42,8394.53
2024-10-17,Buy,0.58,8443.54
2024-11-16,Buy,3.59,8746.83
2024-12-16,Buy,-2.31,8544.87
2025-01-15,Buy,2.85,8788.77
2025-02-14,Buy,-7.69,8112.86
2025-03-16,No Signal,0.0,8112.86
