,ETF,Ticker,Technical Action,Score
0,XLK,AAPL,Buy,28.102190590048263
1,XLV,ABBV,Buy,18.203492836450813
2,XLV,ABT,Sell,4.422573756234016
3,XLK,ACN,Sell,2.7120386934793745
4,XLK,ADBE,Sell,10.884416641470228
5,XLK,ADI,Buy,0.7420114835443474
6,XLK,ADP,Buy,5.468284704474585
7,XLV,AMGN,Buy,6.692179022612205
8,XLY,AMZN,Buy,35.227783178781586
9,XLK,AVGO,Buy,34.29891471408244
10,XLF,BLK,Buy,26.274300402318765
11,XLV,BMY,Sell,11.061002424721046
12,XLC,CMCSA,Sell,3.411630755528134
13,XLE,COP,Sell,2.0266942954598863
14,XLP,COST,Buy,29.676387277153182
15,XLK,CSCO,Sell,9.330159269079534
16,XLV,CVS,Sell,1.1098782858760352
17,XLE,CVX,Buy,9.83923306520984
18,XLV,ELV,Buy,18.92868267178505
19,XLE,EOG,Sell,2.0937219660060484
20,XLV,GILD,Sell,8.794669444103716
21,XLC,GOOGL,Buy,16.25540031678761
22,XLY,HD,Sell,-2.7223862160307983
23,XLI,HON,Buy,9.219039685208624
24,XLI,ITW,Sell,2.512691976563481
25,XLV,JNJ,Sell,14.95151459940036
26,XLP,KO,Buy,10.595076660352468
27,XLB,LIN,Buy,17.041598596309232
28,XLV,LLY,Buy,13.61091559432743
29,XLI,LMT,Buy,20.725565980581425
30,XLK,LRCX,Buy,25.363881370014283
31,XLK,MA,Sell,11.348012108373332
32,XLY,MCD,Sell,-0.2019539073418892
33,XLF,MMC,Buy,3.0805142261452017
34,XLK,MSFT,Buy,25.256580721410025
35,XLC,NFLX,Buy,13.017153176265602
36,XLY,NKE,Sell,1.6818004564332356
37,XLK,NVDA,Buy,27.993294581264827
38,XLK,ORCL,Buy,-4.942868448767896
39,XLP,PEP,Sell,7.624153765591195
40,XLV,PFE,Buy,10.56798351908809
41,XLP,PG,Buy,14.487635331970104
42,XLRE,PLD,Sell,13.386590238478489
43,XLK,QCOM,Buy,5.87725570807639
44,XLY,SBUX,Sell,0.0208985909502579
45,XLU,SRE,Buy,4.075186202093271
46,XLY,TJX,Buy,6.004672920762202
47,XLK,TXN,Buy,6.635439310744702
48,XLV,UNH,Sell,13.81177372985956
49,XLI,UPS,Sell,13.442439354790077
50,XLK,V,Buy,9.306560890316964
51,XLI,VRSK,Buy,-9.79050168986273
52,XLE,XOM,Buy,13.856258691590094
